scope,period,items_total,items_done,progress_pct
DT,ANNUAL,43,0,0.0
DT,Q2,7,0,0.0
DT,Q3,4,0,0.0
DT,Q4,15,0,0.0
DT,Unassigned,17,0,0.0
GL Stream,ANNUAL,56,26,63.3
GL Stream,Q2,9,9,100.0
GL Stream,Q3,10,10,100.0
GL Stream,Q4,28,7,49.64
GL Stream,Unassigned,9,0,28.33
IDT,ANNUAL,171,63,56.14
IDT,Q2,52,38,82.69
IDT,Q3,45,16,59.33
IDT,Q4,1,0,40.0
IDT,Unassigned,73,9,35.48
Notice Tracker,ANNUAL,25,1,4.0
Notice Tracker,Unassigned,25,1,4.0
ORG,ANNUAL,295,90,44.9
ORG,Q2,68,47,76.47
ORG,Q3,59,26,62.2
ORG,Q4,44,7,32.5
ORG,Unassigned,124,10,23.75
